creator_handle,platform,follower_count,bio
dr.skinlab,instagram,185000,Board-certified derm PA | ingredient breakdowns | SPF evangelist
barrierbestie,instagram,92000,Sensitive skin routines | fragrance-free picks
retinol_rachel,instagram,64000,Night routine nerd | tretinoin journeys
glow.with.grace,tiktok,41000,Vitamin C + hydration tips for busy moms
acnepath,tiktok,128000,Real talk acne | azelaic acid & patience
spf.sam,tiktok,55000,Daily sunscreen tests | UV education
chemist.chloe,tiktok,220000,Cosmetic chemist | debunking skincare myths
minimal.skin,instagram,38000,3-step routines | less is more skincare
glambygia,tiktok,890000,Full glam GRWM | lip combos & date night looks
makeup.mila,tiktok,520000,Bridal makeup artist | transformation tutorials
beauty.haul.hannah,tiktok,310000,Weekly Sephora & Shein hauls | what's new
lipstick.lena,tiktok,145000,Lip swatches & PR unboxings
fit.with.faye,tiktok,275000,Pilates + meal prep | wellness lifestyle
runlift.rina,instagram,198000,Marathon training | gym vlogs
wellness.wren,instagram,87000,Morning routines | journaling & matcha
dayinthelife.dani,tiktok,420000,NYC vlogs | coffee walks & apartment resets
clean.casa,tiktok,156000,Cleaning motivation | restock ASMR
giveaway.guru,instagram,95000,Follow + tag 3 friends to win !! collabs DM
crypto.cara,tiktok,67000,Web3 alpha | NFT drops not financial advice
kbeauty.kate,tiktok,112000,K-beauty routines | glass skin steps
hair.health.holly,instagram,73000,Curly hair care | bond repair science
mature.glow,tiktok,48000,Skincare after 40 | peptide routines
teen.skin.tips,tiktok,61000,Teen acne help | gentle starter routines
derm.duets,tiktok,99000,Derm reacts to TikTok trends | myth busting
product.only.pete,tiktok,44000,Unboxing new launches every day
